plateId,plate,cell,species,vintage,winery,vineyard,fermRep,hour,timepoint,isolate,isolateId,C3.1,C3.2,C5.1,C5.2,C8.1,C8.2,C4.1,C4.2,O91.1,O91.2,AT4.1,AT4.2,SCAAT3.1,SCAAT3.2,OO9.1,OO9.2
P08H11,P08,H11,Sc,2013,OCP,Red,1,4.2Bx,L,16,2013_OCP_Red1_4.2Bx_16,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A12,P08,A12,Sc,2013,OCP,Red,1,4.2Bx,L,17,2013_OCP_Red1_4.2Bx_17,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B12,P08,B12,Sc,2013,OCP,Red,1,4.2Bx,L,18,2013_OCP_Red1_4.2Bx_18,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C12,P08,C12,Sc,2013,OCP,Red,1,4.2Bx,L,19,2013_OCP_Red1_4.2Bx_19,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08D12,P08,D12,Sc,2013,OCP,Red,1,4.2Bx,L,20,2013_OCP_Red1_4.2Bx_20,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08E07,P08,E07,Sc,2013,OCP,Red,1,12.8Bx,M,1,2013_OCP_Red1_12.8Bx_01,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08F07,P08,F07,Sc,2013,OCP,Red,1,12.8Bx,M,2,2013_OCP_Red1_12.8Bx_02,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G07,P08,G07,Sc,2013,OCP,Red,1,12.8Bx,M,3,2013_OCP_Red1_12.8Bx_03,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08H07,P08,H07,Sc,2013,OCP,Red,1,12.8Bx,M,4,2013_OCP_Red1_12.8Bx_04,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08A08,P08,A08,Sc,2013,OCP,Red,1,12.8Bx,M,5,2013_OCP_Red1_12.8Bx_05,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08B08,P08,B08,Sc,2013,OCP,Red,1,12.8Bx,M,6,2013_OCP_Red1_12.8Bx_06,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08C08,P08,C08,Sc,2013,OCP,Red,1,12.8Bx,M,7,2013_OCP_Red1_12.8Bx_07,115,121,137,170,146,149,256,256,259,259,289,289,400,400,446,446
P08D08,P08,D08,Sc,2013,OCP,Red,1,12.8Bx,M,8,2013_OCP_Red1_12.8Bx_08,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
P08E08,P08,E08,Sc,2013,OCP,Red,1,12.8Bx,M,9,2013_OCP_Red1_12.8Bx_09,121,124,122,122,149,149,0,0,274,274,287,287,394,394,416,425
P08F08,P08,F08,Sc,2013,OCP,Red,1,12.8Bx,M,10,2013_OCP_Red1_12.8Bx_10,121,121,122,122,149,149,258,258,274,274,291,291,394,394,416,425
P08G08,P08,G08,Sc,2013,OCP,Red,1,12.8Bx,M,11,2013_OCP_Red1_12.8Bx_11,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
