8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_Red1_22.3Bx_01,Sc_2013_Red_1_E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_Red1_19.3Bx_02,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_22.3Bx_02,Sc_2013_Red_1_E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_Red1_19.3Bx_03,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_04,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_05,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_06,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_07,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_08,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_09,Sc_2013_Red_1_E,121,124,122,122,149,149,258,261,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_10,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_11,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_12,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_13,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_14,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_15,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_16,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_17,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_18,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_19,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_19.3Bx_20,Sc_2013_Red_1_E,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_01,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_02,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_03,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_04,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_05,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_06,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_07,Sc_2013_Red_1_L,121,121,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_08,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_09,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_10,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_11,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_12,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_13,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_14,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_15,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_16,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_17,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_18,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_19,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_4.2Bx_20,Sc_2013_Red_1_L,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_01,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_02,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_03,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_04,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_05,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_06,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_07,Sc_2013_Red_1_M,115,121,137,170,146,149,256,256,259,259,289,289,400,400,446,446
2013_OCP_Red1_12.8Bx_08,Sc_2013_Red_1_M,121,121,151,163,146,149,261,261,301,317,293,293,380,403,420,452
2013_OCP_Red1_12.8Bx_09,Sc_2013_Red_1_M,121,124,122,122,149,149,0,0,274,274,287,287,394,394,416,425
2013_OCP_Red1_12.8Bx_10,Sc_2013_Red_1_M,121,121,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_11,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_12,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
