8,1545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2016SB04_16,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_24,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_40,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB04_48,2016_OliverOsoyoos_SB_4_U_OK139,124,124,159,159,130,130,253,253,254,254,277,277,380,380,394,394
2016SB06_08,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_16,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_24,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_32,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016SB06_40,2016_OliverOsoyoos_SB_6_U_OK83,121,121,120,120,146,146,271,271,299,299,277,277,406,406,420,420
2016MHA02_01,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_09,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_17,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_25,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_33,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_41,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_01,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_09,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_17,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_25,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_33,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_41,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_02,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_10,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_18,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_26,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_34,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_42,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_02,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_10,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_18,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_26,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_34,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_42,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_03,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_11,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_19,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_27,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_35,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_43,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_03,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_11,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_19,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_27,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_35,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_43,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_04,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_12,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_20,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_28,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_36,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_44,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_04,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_12,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_20,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_28,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_36,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_44,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_05,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_13,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_21,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_29,2016_OliverOsoyoos_MHA_2_U_OK121,124,124,166,166,133,133,263,263,170,259,277,277,373,373,420,420
2016MHA02_37,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_45,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_05,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_13,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_29,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_37,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_45,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_06,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_14,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_22,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_30,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_38,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_46,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_06,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_14,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_22,2016_OliverOsoyoos_MHA_3_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_30,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_38,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_46,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA02_07,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_15,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_23,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_31,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_39,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA02_47,2016_OliverOsoyoos_MHA_2_U_OK122,124,124,166,166,133,133,263,263,259,259,277,277,373,373,420,420
2016MHA03_07,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
2016MHA03_15,2016_OliverOsoyoos_MHA_3_U_OK13,110,110,120,120,133,133,279,279,254,254,277,277,397,397,420,420
